Id,Photos,Age,City_id,City,Status,Profile_entries
1591517,57,,1,Москва,www.wedvictory.ru,1107
1620430,6,,282,Минск,,174
2447863,47,,282,Минск,"Есть время работать, и есть время любить. Никакого другого времени не остается. ✈",2047
2821515,58,34,17557,Чериков,,966
4624537,1,33,282,Минск,"Чем больше живёшь, тем больше хочется.",82
5199685,2,,282,Минск,,127
5873115,10,,282,Минск,,183
6258034,18,,282,Минск,,526
6569856,0,,282,Минск,,30
6646375,7,,282,Минск,,70
7116759,10,32,282,Минск,,26
7125185,67,30,282,Минск,"Знание - это когда ты знаешь, что томат это фрукт. Мудрость - это когда ты не кладёшь его во фруктовый салат",1244
7434174,10,,282,Минск,,152
7502752,5,35,282,Минск,"Если Бог хочет сделать женщине комплимент, Он дарит ей дочь…",287
7553960,11,33,282,Минск,"4 безумных, волшебных и чертовски крутых года рядышком с тобой...",550
7677963,45,,282,Минск,,255
7772368,1,,282,Минск,,13
8188282,9,,,,"женщины сами не знают, чего хотят, а мужчины хотят того, чего не знают",1015
8247189,30,,6276,Дзержинск,,39
8811108,1,32,282,Минск,,927
8996025,6,,282,Минск,,115
9378823,12,,282,Минск,,337
9437001,4,,282,Минск,,105
9524082,12,,282,Минск,,403
9616541,1,41,282,Минск,,1
9863142,11,,,,,796
12638863,99,,282,Минск,Куплю квартиру в Минске срочно! помогу с оформлением!,8784
12895555,17,,,,,676
16264909,79,,282,Минск,,935
16322485,26,,282,Минск,,320
18060200,36,32,538,Барановичи,счастливые родители !!!,386
18232092,21,28,282,Минск,,886
19423946,3,,,,счастливое счастье ❤,8
19822837,38,,282,Минск,"Мама с детства учила меня — если что-то делаешь, делай это хорошо и до конца. Поэтому мозг я выношу качественно и с любовью...",342
20447966,60,,1998,Нягань,,113
20845443,5,,2,Санкт-Петербург,,211
25015326,86,37,282,Минск,"Ребята,меня взломали,все сообщения,присланные вам ложные!!!!",724
25140093,55,26,1,Москва,http://lesfleursdeluxe.tilda.ws,1082
30747697,39,,282,Минск,,1180
31435525,7,,282,Минск,"Жизнь принадлежит тому , кто ей рад.",130
31463563,63,,,,❤❤ счастлива Я :),637
33300925,4,32,282,Минск,),164
33315383,6,,1515872,Энергетиков,"Чем красивее ИЛЛЮЗИЯ ума, Тем сильнее БОЛЬ разочарования.",3031
35546237,1,20,282,Минск,,170
35714052,5,,282,Минск,,520
35716655,1,,244,Витебск,,76
37327986,51,27,1113,Лида,,151
37609822,62,,,,"У кого-то счастье в сыне,у кого-то в дочке.У меня двойное счастье: в дочке и сыночке!!!😆😙😍 ￼",292
41781219,46,,282,Минск,Помогаю начать зарабатывать в интернете. Жми на taplink и свяжись со мной👇🏻,67
42199204,15,32,282,Минск,,864
42460388,157,26,282,Минск,Организую Ваш отдых в любую точку мира  +375296777401🌴☀️,2117
43378600,18,,1515872,Энергетиков,,1102
48880720,12,27,2149,Молодечно,Массажист в Молодечно. ☎ +375(29)5705637 Life=)Возможна предварительная запись через Viber и Vk.,261
49340777,6,,649,Гродно,,13
49678560,5,,282,Минск,В жизни есть одно простое счастье - жить для других)))...Толстой,175
50531503,36,,282,Минск,Фотограф +375292749254 свадебная и семейная фотография,346
50849917,26,,282,Минск,"Ничего нет лучше в мире – Говорю вам, не тая, – Чем отдельная квартира, И тем более своя!!!",266
55206636,20,31,15702,Любань,,1141
56097927,5,,282,Минск,,16
58505495,3,,,,Inst: zhrulian,1
58736334,3,21,282,Минск,,4
58843267,4,,,,4+1:0,16
59045275,8,21,282,Минск,,11
60041928,3,,282,Минск,,2
60456639,16,,282,Минск,,1027
61866962,21,29,282,Минск,,270
62530284,4,21,,,Instagram:alldreamtogether,964
62818661,4,,1711731,Köln,"Цой, волынки, Минск",335
63340333,11,22,3426,Дрогичин,"Завести собаку, назвать ее Атрей и на прогулке кричать: Атрей, ко мне!",136
64946306,52,28,282,Минск,,457
69307141,20,,282,Минск,instagram: sgknst,72
69489862,1,,1233,Орша,,1
73354084,5,,282,Минск,,63
73738502,10,,282,Минск,,0
80829895,3,,282,Минск,,135
81812296,32,34,1517700,Раков,"Возможно, в этом мире ты всего лишь человек, но для кого-то ты – весь мир...",727
86667465,10,,282,Минск,,5
87463914,22,,282,Минск,,19
88171888,10,,282,Минск,,180
88667178,5,,282,Минск,,10
88731636,20,22,282,Минск,,4
93200871,7,23,282,Минск,,15
95795901,0,,282,Минск,,2322
99319867,1,25,282,Минск,,149
100044588,12,,282,Минск,,117
104218252,1,,282,Минск,,5
104312890,22,20,282,Минск,"It’s time to use my colors, in my my head...",92
109357958,33,25,,,"""Опыт увеличивает нашу мудрость, но не увеличивает наши глупости"" - Бернард Шоу",69
109526911,3,24,282,Минск,Я вас не призываю в свой мир. Оставайтесь в своём. Только меня туда тащить не надо…  (ДухLess),19
110642496,1,,538,Барановичи,,1
111073480,4,,,,,8
111202426,2,,282,Минск,,0
112019915,31,32,610,Пинск,,73
112483795,42,,,,9.02 per aspera ad astra,8
112707818,20,,282,Минск,,40
120794645,5,,282,Минск,,6
120963598,13,19,,,,3
121272751,5,,281,Брест,,237
123887884,13,,282,Минск,,43
124110114,3,21,282,Минск,🤔,3
124124993,8,21,7937,Браслав,unspeakable,13
124245494,16,,282,Минск,,18
124663341,31,27,282,Минск,,836
124992986,9,22,282,Минск,,61
125443247,22,,282,Минск,,30
125942459,3,,,,vice versa 🤘,1
126044414,11,,282,Минск,,221
127096335,2,,282,Минск,,0
127418476,35,,282,Минск,Два сердца в одном 💞,1501
127491950,14,,282,Минск,,2
127685872,33,,282,Минск,,188
128573042,17,34,282,Минск,,292
132179957,2,37,282,Минск,,27
132283468,1,31,282,Минск,,1
132535500,0,,2144,Глуск,Ты покров мой и щит мой; на слово Твое уповаю. /Псал. 118:114/📖,5
132879592,1,,282,Минск,НБН,3
132889232,9,37,282,Минск,"Die Menschen können zusammen trinken, können unter einem Dach leben, können Liebe machen, aber gemeinsame Beschäftigungen idiotischen zeigen",791
134215065,48,,282,Минск,,23
134283665,6,,282,Минск,,4
134863996,11,,282,Минск,,715
134936080,12,,282,Минск,,13
135215621,7,22,282,Минск,,18
136103575,41,21,282,Минск,"Я не поэт, я компилятор. | Когда-то её выдвинули на общественную работу и с тех пор никак не могут задвинуть обратно | Кумир",2246
136123062,39,21,282,Минск,,289
136378595,2,,282,Минск,,15
136381713,14,,282,Минск,,96
136419694,2,,375,Мозырь,,0
136692936,40,,282,Минск,https://seo.belstu.by/Shuliak 👈🏻 посети пж этот сайт! 💛,84
136707861,3,19,282,Минск,Notoxic,6
137356069,10,,15702,Любань,💚👑💚,41
137490796,1,43,282,Минск,,94
137929031,1,,2262,Светлогорск,,23
138179695,0,,,,люблю аниме,0
138531173,12,,282,Минск,чокнутая птичка,440
138545145,1,15,,,,1
138601823,10,,,,,0
138722164,5,20,282,Минск,,1
138889302,6,20,282,Минск,,67
139187812,10,36,21358,Узда,,82
140040773,25,23,282,Минск,,46
140157782,9,,7076,Жодино,Fd,26
141248351,2,20,467,Могилёв,"За окном сверкает молния, это не природное",2
141331725,15,,2149,Молодечно,❤,56
141645270,1,,6276,Дзержинск,,7
142008225,3,,282,Минск,Creations of God? No way!,15
142373265,1,,6231,Лиозно,,0
142908176,6,,,,,2
143098556,7,20,282,Минск,,0
144831019,8,,413,Борисов,Only you..7,19
144850925,2,22,,,4:0 бгту,3
147232081,15,21,1661,"Washington, D.C.",Fukk sleep,22
147244607,5,20,1704682,Чисть,,5
148162415,9,20,1506,Жлобин,_vikofka_,0
148291294,2,,282,Минск,,2
149065158,7,,282,Минск,,3
149186728,3,,,,,13
149195896,19,,375,Мозырь,,7
151673439,19,,2064,Слуцк,"Waste not, want not",2009
151733213,0,21,1233,Орша,,456
153325940,10,20,282,Минск,"Люблю выдр, читос и вышивать кружочком",352
153331130,6,,282,Минск,,14
153381177,4,,282,Минск,,7
153613192,1,49,282,Минск,,10
153734117,7,21,282,Минск,,956
153851696,25,28,,,,738
154204707,11,24,282,Минск,Carpe diem,0
154281331,3,24,282,Минск,,0
155393579,6,19,,,,8
155431613,33,,282,Минск,"Любое событие неизбежно, иначе его бы не случилось.",591
157119147,11,19,282,Минск,,2518
157258635,7,,1905639,Kawasaki,,0
157580315,8,19,413,Борисов,,13
158129200,4,21,282,Минск,,328
158176976,4,20,282,Минск,inst. hann.lone,13
159509910,8,20,,,посланница неведомых миров,28
159523420,21,,282,Минск,,82
160763495,7,,,,//,0
160892140,8,,,,Мур мяв🐱,223
162354118,3,,,,,1
162847214,4,,,,IDM,2
163992550,3,101,378,New York City,,1
164084787,13,,3687,Щучин,"Если время потрачено с удовольствием, то оно не потрачено зря!",8
164137771,20,,1600196,Дружиловичи,Куплю шпоры,117
164437410,8,,,,"Внезапна, как лосось в кустах",35
164512433,1,,282,Минск,,10
168855116,10,21,282,Минск,,24
168964084,24,114,314,Киев,,48
169883323,2,,282,Минск,,0
170027614,11,20,282,Минск,"я потешная🙈 по жизни почти колобок, ""почти"" - т.к. лисы у меня нет, активно практикую свой уход. а там, где есть уход, есть и приход.",343
170090730,7,,282,Минск,Оаоаоаоа мммм,3
170525493,2,22,,,"искали счастье,  но нашли вино",1
170647410,9,20,1113,Лида,Привет. Йа Дима,7
170775145,1,37,1602398,Ивенец,,6
170911179,20,21,282,Минск,,281
171594029,4,,282,Минск,"Dicky stiffy, uh, bet she give some licky, uh🖤",3
173600453,9,,5062,Сморгонь,...,24
174006305,63,37,282,Минск,"✅ ИНДИЙСКИЙ ТАНЕЦ ✅ ОБУЧЕНИЕ, ПОСТАНОВКА, ВЫСТУПЛЕНИЯ, МАСТЕР-КЛАССЫ☎+375 29 503 84 74✅",658
174447632,6,,282,Минск,,289
174583274,4,,282,Минск,,8
174804594,5,19,282,Минск,,40
175294631,2,22,,,,0
175618432,10,,16513,Фаниполь,,68
176810627,5,,14856,Плещеницы,,2
177145627,9,21,282,Минск,,1
177576491,2,,1951986,München,333,8
177827115,5,,282,Минск,"“One day you'll leave this world behind,So live a life you will remember.”   (☆Avicii☆)",438
177870843,3,,8935,Кричев,,3
177991274,4,,538,Барановичи,"Forever in my heart, Clem...",0
178726490,43,25,282,Минск,Иду к цели.....,106
178801545,11,,,,,21
179109217,5,,,,REEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE,8
179145374,4,20,413,Борисов,"Внимание, прошу прощения у всех джавистов, Java НЕ говно)",5
179898014,6,,282,Минск,Fucking real deal,5
180315107,34,20,282,Минск,не сдох и ладно,57
180392180,307,22,1501873,Любешов,,7338
181089113,2,,282,Минск,https://t.me/wmrbek,0
181388233,24,,282,Минск,stop be toxic ❤,65
181765713,12,,282,Минск,,11
182478055,28,19,1506,Жлобин,,342
182704979,4,19,,,,33
183626083,16,,,,^^,36
183820595,2,18,649,Гродно,дали палку на вд с моим лицом спасибо,11
183871398,57,,282,Минск,,11
183978458,5,23,282,Минск,,119
184370198,19,,610,Пинск,Последний человек на земле слышит стук в дверь,14
184544084,0,,,,,7
184644638,12,,282,Минск,привет тебе с луны,1
184648401,11,,282,Минск,,7
184668408,1,37,,,,1
184734727,1,,282,Минск,Чужие слушать мнения пора завязывать,1416
184819061,4,,6389,Мосты,Всё только начинается...,819
185646337,10,51,282,Минск,,100
187245244,10,20,281,Брест,,59
189880541,14,,1506,Жлобин,vladilyinov,13
190262017,16,19,,,Your life can end inside a moment!!	©Danny,45
190973889,1,,,,,8
191820790,4,,2149,Молодечно,,4
192839915,12,,,,Лишь выдуманный персонаж твоей истории,2
194378869,20,,10410,Островец,,266
194583483,9,,413,Борисов,Укрась прощальное утро цветами обещания😭,18
194652783,1,20,282,Минск,"Жить так, чтобы в конце концов овладеть картой мира",10
194705159,7,19,282,Минск,(-_-),195
195056430,4,19,282,Минск,🖤,77
195608092,6,,,,利己主以者,1
199556069,17,,282,Минск,,34
200258835,2,21,282,Минск,"Ищу людей, которым было бы интересно делать 💲 в интернет, и я готов научить тому, как это делать.",183
201254120,2,23,282,Минск,,1
202843138,2,,282,Минск,,0
203931642,1,,282,Минск,,0
208870331,5,,282,Минск,,102
210070397,5,103,1517630,Логойск,,6
210268394,3,22,282,Минск,,1
210936601,2,18,1,Москва,,5
213263396,30,,282,Минск,Сын андерграундного отца,68
213513318,10,20,1506,Жлобин,"41319|чем меньше функций , тем легче их сделать",12
214177975,5,,,,,4
215004775,1,,282,Минск,"Ты должен быть сильным, иначе зачем тебе быть?",3
217637207,35,23,282,Минск,,1005
218574627,1,,282,Минск,,63
219814978,12,,1299,Новополоцк,Котопес мяу 🐈,1
226749421,8,24,,,,444
228931533,2,20,282,Минск,😔,0
228950192,4,,282,Минск,//,4
232313967,2,,,,,0
232729892,8,,282,Минск,,1300
242936606,1,,,,"🐢Мы не жалкие букашки, супер-ниндзя черепашки🐢",2
243192555,1,,2262,Светлогорск,,64
243932889,3,,281,Брест,,2
244485069,1,,282,Минск,,0
245500821,22,,,,,19
245670357,6,22,282,Минск,,5
246266924,3,,,,Оnлaйn,2
247529598,9,,282,Минск,Возможное не всегда возможно,595
258584515,3,,,,,17
259236871,9,42,282,Минск,,278
259704692,20,22,282,Минск,,1329
260327965,11,,649,Гродно,,170
261688529,4,14,282,Минск,,85
274550799,1,,282,Минск,,17
279147610,1,,282,Минск,Всё для студента факультета ХТиТ (БГТУ)!!!,906
282269290,11,,282,Минск,Memento mori...	Forever,6
286725064,19,,7076,Жодино,,121
288323850,5,,,,,4
303053891,4,26,282,Минск,,4
304978988,5,,282,Минск,,3
